agent_p1,agent_p2,return_p1,return_p2,error
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
0,1,-1.0,1.0,
1,0,-1.0,1.0,
