agent_p1,agent_p2,return_p1,return_p2,error
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,1.0,-1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,1.0,-1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
hhf_and_random,hhf,-1.0,1.0,
hhf,hhf_and_random,-1.0,1.0,
