agent_p1,agent_p2,return_p1,return_p2,error
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,,,An exception of type TimeoutError occurred. Message: Timeout for agent 0
0,1,1.0,-1.0,
1,0,-1.0,1.0,
0,1,1.0,-1.0,
1,0,-1.0,1.0,
